DEPT;RHOB;TR;VP
4195;2.39167;-9999;11422.81
4196;2.37685;5;11070.48
4197;2.37935;5;10289.51
4198;2.37533;5;10144.58
4199;2.36434;5;10080.55
4200;2.36874;5;10148.17
4201;2.37867;5;10301.21
4202;2.38235;5;10468.78
4203;2.40653;5;10954.97
4204;2.40774;5;11201.2
4205;2.38304;5;11280.06
4206;2.38649;5;11059.34
4207;2.41022;5;10756.46
4208;2.43588;5;10487.48
4209;2.43869;5;10792.69
4210;2.36564;-9999;10664.41
4211;2.42297;-9999;11555.1
4212;2.51692;-9999;11988.9
4213;2.45228;-9999;12033.6
4214;2.44313;-9999;12065.21
4215;2.4441;-9999;12029.4
4216;2.39937;-9999;12911.63
4217;2.32999;-9999;12073.41
4218;2.17501;-9999;12633.14
4219;2.18296;-9999;9929.054
4220;2.34682;-9999;10493.42
4221;2.35626;-9999;10595.86
4222;2.30741;-9999;11243.91
4223;2.26947;-9999;11656.76
4224;2.20891;-9999;12254.49
4225;2.18147;-9999;11537.31
4226;2.25779;-9999;11219.66
4227;2.33349;-9999;10527.42
4228;2.36643;-9999;10398.25
4229;2.38536;5;10567.48
4230;2.37969;5;10758.45
4231;2.384;5;10695.49
4232;2.35601;5;10684.74
4233;2.38938;5;10727.31
4234;2.36894;5;10893.68
4235;2.32511;5;11020.52
4236;2.30724;5;10480.27
4237;2.28862;5;9066.938
4238;2.31123;5;9220.279
4239;2.34546;5;9371.749
4240;2.36093;5;9222.481
4241;2.35052;5;9198.03
4242;2.35087;5;9512.497
4243;2.38201;5;9646.765
4244;2.37979;5;9720.891
4245;2.32915;5;9772.668
4246;2.33976;5;9857.986
4247;2.37043;-9999;9996.89
4248;2.36305;-9999;9715.066
4249;2.34278;-9999;9803.869
4250;2.38669;-9999;11070.82
4251;2.39401;-9999;11468.44
4252;2.38623;-9999;11752.14
4253;2.36617;-9999;12384.1
4254;2.26635;-9999;11591
4255;2.26312;-9999;10723.56
4256;2.33258;-9999;10199.32
4257;2.32366;-9999;10150.59
4258;2.41067;-9999;10069.34
4259;2.40749;-9999;10369.51
4260;2.38366;5;10238.44
4261;2.39557;5;10283.68
4262;2.42369;5;10256.16
4263;2.44475;5;10401.08
4264;2.45504;5;10583.31
4265;2.47999;5;10786.85
4266;2.47286;5;11112.79
4267;2.43126;5;11241.84
4268;2.43481;5;11231.72
4269;2.48627;5;11344.94
4270;2.47574;5;11433.44
4271;2.46299;5;11946.76
4272;2.42405;5;12133.15
4273;2.40323;5;11961.13
4274;2.39125;5;11407.38
4275;2.38258;5;11093.37
4276;2.36541;5;10499.51
4277;2.37655;5;10185.99
4278;2.38545;5;9943.774
4279;2.38933;5;9900.171
4280;2.40868;5;10262.09
4281;2.40911;5;10299.33
4282;2.40732;5;10115.95
4283;2.39625;5;10003.67
4284;2.40748;5;10264.1
4285;2.41857;5;10054.76
4286;2.46196;-9999;10211.02
4287;2.5113;5;10078.67
4288;2.50294;5;10934.5
4289;2.48022;5;11212.29
4290;2.48945;-9999;11662.2
4291;2.45159;-9999;11631.05
4292;2.40695;5;11740.41
4293;2.40663;5;11769.77
4294;2.40148;5;11081.24
4295;2.33743;3;10586.21
4296;2.25062;2;10550.82
4297;2.30669;2;11451.02
4298;2.37772;-9999;11617.61
4299;2.38379;-9999;11872.2
4300;2.37159;-9999;11793.52
4301;2.32838;-9999;11606.66
4302;2.27828;-9999;11716.8
4303;2.24597;-9999;12006.98
4304;2.23253;-9999;11840.88
4305;2.22288;5;11618.03
4306;2.26125;5;11292.06
4307;2.3109;5;10875.98
4308;2.4059;-9999;10649.65
4309;2.38684;-9999;10454.78
4310;2.3493;5;10317.56
4311;2.32398;5;10482.95
4312;2.34961;5;10874.32
4313;2.34782;5;11090.01
4314;2.37446;5;11219.81
4315;2.33078;5;11227.36
4316;2.28032;-9999;10624.5
4317;2.34165;-9999;10832.29
4318;2.44536;-9999;10790.12
4319;2.44419;-9999;10751.73
4320;2.40533;5;11077.29
4321;2.39377;-9999;11366.74
4322;2.40955;5;11095.91
4323;2.41536;5;11031.68
4324;2.41391;5;10262.38
4325;2.37453;5;10137.2
4326;2.34041;5;10007.33
4327;2.37503;5;9426.596
4328;2.40225;5;9593.893
4329;2.38855;5;9900.47
4330;2.44041;5;10303.33
4331;2.47498;5;11171.25
4332;2.46315;5;11222.06
4333;2.42291;5;11259.96
4334;2.40266;5;11319.12
4335;2.41744;5;11024.91
4336;2.38341;5;10858.09
4337;2.44622;5;10777.98
4338;2.4626;5;11184.69
4339;2.44859;5;11286.86
4340;2.44272;5;10956.93
4341;2.43008;5;10963.99
4342;2.46578;5;11014.96
4343;2.49746;5;11127.51
4344;2.50824;5;11343.5
4345;2.51653;5;11604.49
4346;2.52704;5;11790.7
4347;2.49612;5;12000.25
4348;2.49205;5;12068.25
4349;2.48497;5;12583.65
4350;2.4693;5;12501.08
4351;2.48412;5;11939.15
4352;2.47289;5;11367.48
4353;2.44148;5;11146.09
4354;2.43952;5;10062.94
4355;2.40273;5;10501.75
4356;2.30685;2;9397.676
4357;2.22986;2;10070.25
4358;2.21788;2;10035.89
4359;2.20254;2;9783.45
4360;2.1936;2;9501.996
4361;2.20551;2;9544.491
4362;2.23261;2;9507.805
4363;2.22733;2;9590.979
4364;2.24392;2;9790.438
4365;2.25262;3;9956.507
4366;2.31091;2;10301.19
4367;2.34153;3;10209.62
4368;2.34623;3;10658.09
4369;2.36387;4;11258.19
4370;2.40053;5;11629.43
4371;2.46096;5;11339.95
4372;2.44759;5;11105.94
4373;2.47273;5;10833.54
4374;2.48047;5;10867.62
4375;2.49938;5;11352.06
4376;2.46199;5;11863.85
4377;2.40654;5;12226.03
4378;2.40971;5;12471.26
4379;2.38995;5;12713.83
4380;2.35881;5;11950.66
4381;2.37216;5;11674.71
4382;2.3639;5;8936.505
4383;2.39023;5;8536.315
4384;2.29771;5;9701.791
4385;2.26454;-9999;10040.61
4386;2.33704;5;10426.72
4387;2.32583;5;11188.3
4388;2.39212;5;11406.18
4389;2.4147;5;11618.52
4390;2.39187;5;11467.59
4391;2.3454;4;10924.54
4392;2.35638;4;10589.48
4393;2.37326;5;10657.23
